gene_id	cell_group	Gene.Ontology.IDs
LOC105349151	9	GO:0005737; GO:0005868; GO:0007018; GO:0045505; GO:0060271
LOC105325415	11	GO:0005634; GO:0005815; GO:0005879; GO:0015630; GO:0030317; GO:0031514; GO:0036159; GO:0060271; GO:0060294
LOC105325420	4	GO:0005886; GO:0015293; GO:0016021; GO:0046872; GO:0046873
LOC109619157	8	GO:0000151; GO:0006511; GO:0016567; GO:0031462; GO:0043161; GO:0140627; GO:1990756
LOC109619155	3	GO:0005249; GO:0005737; GO:0005886; GO:0006814; GO:0015459; GO:0016021; GO:0030425; GO:0030644; GO:0031982; GO:0032809; GO:0043204; GO:0044325; GO:0045121; GO:0060307; GO:0086005; GO:0086011; GO:0086091; GO:0097623; GO:0098915; GO:1902260; GO:1903765; GO:1903817; GO:1905025; GO:1990794
LOC105319801	2	GO:0000209; GO:0000278; GO:0000447; GO:0000448; GO:0000472; GO:0000480; GO:0004842; GO:0005634; GO:0005730; GO:0005737; GO:0006511; GO:0006913; GO:0006997; GO:0008361; GO:0016567; GO:0043161; GO:0051028; GO:0061630
LOC105347430	8	GO:0000932; GO:0003729; GO:0005634; GO:0005737; GO:0006402; GO:0007283; GO:0008270; GO:0017148; GO:0030718; GO:0045835; GO:0048471; GO:0048477; GO:1900153
LOC105340088	2	GO:0004197; GO:0004843; GO:0005634; GO:0005694; GO:0005829; GO:0006511; GO:0016579; GO:0016605; GO:0031647; GO:0035616; GO:0051090
LOC105340092	6	GO:0001568; GO:0001570; GO:0001701; GO:0001763; GO:0001954; GO:0005102; GO:0005576; GO:0005615; GO:0005634; GO:0005737; GO:0005794; GO:0005886; GO:0007368; GO:0007369; GO:0007507; GO:0008083; GO:0008284; GO:0008595; GO:0009948; GO:0009952; GO:0009966; GO:0009986; GO:0010762; GO:0015026; GO:0016324; GO:0017147; GO:0019897; GO:0030154; GO:0030335; GO:0030512; GO:0031225; GO:0038092; GO:0038100; GO:0043406; GO:0045121; GO:0045944; GO:0048144; GO:0048146; GO:0048471; GO:0048856; GO:0055007; GO:0070697; GO:0070698
LOC105327868	1	GO:0005886; GO:0007049; GO:0008360; GO:0008963; GO:0009252; GO:0016021; GO:0046872; GO:0051301; GO:0051992; GO:0071555
LOC105337948	14	GO:0000981; GO:0003677; GO:0005634; GO:0046983
LOC105337948	3	GO:0000981; GO:0003677; GO:0005634; GO:0046983
LOC105340469	10	GO:0005524; GO:0005737; GO:0005856
LOC105333818	14	GO:0000122; GO:0000380; GO:0000381; GO:0000956; GO:0001837; GO:0003712; GO:0003723; GO:0003724; GO:0003730; GO:0005516; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0006357; GO:0006606; GO:0007623; GO:0009299; GO:0016607; GO:0016887; GO:0019899; GO:0030509; GO:0030520; GO:0030521; GO:0035500; GO:0036002; GO:0043021; GO:0043517; GO:0045069; GO:0045445; GO:0045667; GO:0045893; GO:0046332; GO:0048306; GO:0050681; GO:0060765; GO:0061614; GO:0070412; GO:0070878; GO:0071013; GO:0072332; GO:1903800; GO:1990841; GO:1990904; GO:2001014
LOC105320035	11	GO:0005879; GO:0030030; GO:0031514; GO:0060294
LOC105323555	11	GO:0001578; GO:0005874; GO:0007566; GO:0015631; GO:0032273; GO:0046697; GO:0046785; GO:0048471; GO:0097427
LOC105318577	8	GO:0003677; GO:0003906; GO:0005634; GO:0005739; GO:0006284; GO:0008081; GO:0008270; GO:0008311; GO:0017005
LOC105333580	3	GO:0005759; GO:0008483; GO:0030170; GO:0050459
LOC105335481	4	GO:0005509; GO:0005737
LOC117686524	6	GO:0004180; GO:0005615; GO:0006508; GO:0008237; GO:0008241; GO:0016020; GO:0046872
LOC105325327	10	GO:0004601; GO:0005509; GO:0005783; GO:0005829; GO:0005886; GO:0006590; GO:0006952; GO:0006979; GO:0016175; GO:0016324; GO:0019221; GO:0020037; GO:0042335; GO:0042446; GO:0042554; GO:0042744; GO:0043020; GO:0045177; GO:0050665; GO:0051591; GO:0070161; GO:0106293; GO:0106294
LOC105320873	5	GO:0003333; GO:0005886; GO:0005887; GO:0006836; GO:0015175; GO:0015293; GO:0016324; GO:0031526; GO:0035725
LOC105345029	2	
LOC109619311	11	NA
LOC105345813	2	GO:0000976; GO:0000978; GO:0000981; GO:0001228; GO:0002244; GO:0003677; GO:0005634; GO:0006357; GO:0042802; GO:0043565; GO:0045444; GO:0045595; GO:0045669; GO:0045892; GO:0045944; GO:0048839; GO:0090575; GO:1990837
